Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
7344933,GHED_GGHE-DGGE_SHA2011,COUNTRY,UZB,EUR,Europe,YEAR,2021,,,,,,,,,9.9,9.89793,,,,2024-12-10T14:55:59Z,2021,2021-01-01,2021-12-31
7347497,GHED_GGHE-DGGE_SHA2011,COUNTRY,RWA,AFR,Africa,YEAR,2013,,,,,,,,,8.3,8.30412,,,,2024-12-10T14:55:59Z,2013,2013-01-01,2013-12-31
7348208,GHED_GGHE-DGGE_SHA2011,COUNTRY,UKR,EUR,Europe,YEAR,2018,,,,,,,,,8.35,8.35255,,,,2024-12-10T14:55:59Z,2018,2018-01-01,2018-12-31
7349210,GHED_GGHE-DGGE_SHA2011,COUNTRY,CAF,AFR,Africa,YEAR,2004,,,,,,,,,11.28,11.27601,,,,2024-12-10T14:55:59Z,2004,2004-01-01,2004-12-31
7349254,GHED_GGHE-DGGE_SHA2011,COUNTRY,CZE,EUR,Europe,YEAR,2012,,,,,,,,,14.38,14.3822,,,,2024-12-10T14:55:59Z,2012,2012-01-01,2012-12-31
7350537,GHED_GGHE-DGGE_SHA2011,COUNTRY,AUT,EUR,Europe,YEAR,2000,,,,,,,,,13.38,13.37524,,,,2024-12-10T14:55:59Z,2000,2000-01-01,2000-12-31
7353852,GHED_GGHE-DGGE_SHA2011,COUNTRY,KGZ,EUR,Europe,YEAR,2021,,,,,,,,,9.22,9.22341,,,,2024-12-10T14:55:59Z,2021,2021-01-01,2021-12-31
7354715,GHED_GGHE-DGGE_SHA2011,COUNTRY,BEL,EUR,Europe,YEAR,2012,,,,,,,,,14.22,14.21564,,,,2024-12-10T14:55:59Z,2012,2012-01-01,2012-12-31
7355121,GHED_GGHE-DGGE_SHA2011,COUNTRY,VEN,AMR,Americas,YEAR,2021,,,,,,,,,4.82,4.81796,,,,2024-12-10T14:55:59Z,2021,2021-01-01,2021-12-31
7360778,GHED_GGHE-DGGE_SHA2011,COUNTRY,BLZ,AMR,Americas,YEAR,2018,,,,,,,,,12.21,12.20985,,,,2024-12-10T14:55:59Z,2018,2018-01-01,2018-12-31
7362286,GHED_GGHE-DGGE_SHA2011,COUNTRY,SEN,AFR,Africa,YEAR,2005,,,,,,,,,8.54,8.54414,,,,2024-12-10T14:55:59Z,2005,2005-01-01,2005-12-31
7364412,GHED_GGHE-DGGE_SHA2011,COUNTRY,THA,SEAR,South-East Asia,YEAR,2019,,,,,,,,,13.27,13.27487,,,,2024-12-10T14:55:59Z,2019,2019-01-01,2019-12-31
7364864,GHED_GGHE-DGGE_SHA2011,COUNTRY,AGO,AFR,Africa,YEAR,2010,,,,,,,,,4.25,4.24957,,,,2024-12-10T14:55:59Z,2010,2010-01-01,2010-12-31
7373532,GHED_GGHE-DGGE_SHA2011,COUNTRY,TUV,WPR,Western Pacific,YEAR,2002,,,,,,,,,11.25,11.25468,,,,2024-12-10T14:55:59Z,2002,2002-01-01,2002-12-31
7375043,GHED_GGHE-DGGE_SHA2011,COUNTRY,IRQ,EMR,Eastern Mediterranean,YEAR,2021,,,,,,,,,6.98,6.98393,,,,2024-12-10T14:55:59Z,2021,2021-01-01,2021-12-31
